Region,State or Province,City,Postal Code,Location_id
Central,Illinois,Addison,60101,IA60101
Central,Illinois,Alton,62002,IA62002
Central,Illinois,Arlington Heights,60004,IA60004
Central,Illinois,Aurora,60505,IA60505
Central,Illinois,Batavia,60510,IB60510
Central,Illinois,Belleville,62223,IB62223
Central,Illinois,Belvidere,61008,IB61008
Central,Illinois,Bloomington,61701,IB61701
Central,Illinois,Bolingbrook,60440,IB60440
Central,Illinois,Buffalo Grove,60089,IB60089
Central,Illinois,Burbank,60459,IB60459
Central,Illinois,Calumet City,60409,IC60409
Central,Illinois,Carbondale,62901,IC62901
Central,Illinois,Carol Stream,60188,IC60188
Central,Illinois,Carpentersville,60110,IC60110
Central,Illinois,Champaign,61821,IC61821
Central,Illinois,Chicago,60601,IC60601
Central,Illinois,Chicago,60603,IC60603
Central,Illinois,Chicago,60610,IC60610
Central,Illinois,Chicago,60611,IC60611
Central,Illinois,Chicago,60623,IC60623
Central,Illinois,Chicago,60653,IC60653
Central,Illinois,Chicago,60699,IC60699
Central,Illinois,Collinsville,62234,IC62234
Central,Illinois,Country Club Hills,60478,IC60478
Central,Illinois,Crystal Lake,60014,IC60014
Central,Illinois,Danville,61832,ID61832
Central,Illinois,Decatur,62521,ID62521
Central,Illinois,Des Plaines,60016,ID60016
Central,Illinois,Downers Grove,60516,ID60516
Central,Illinois,East Saint Louis,62205,IE62205
Central,Illinois,Elgin,60123,IE60123
Central,Illinois,Elk Grove Village,60007,IE60007
Central,Illinois,Elmhurst,60126,IE60126
Central,Illinois,Evanston,60201,IE60201
Central,Illinois,Forest Park,60130,IF60130
Central,Illinois,Frankfort,60423,IF60423
Central,Illinois,Franklin Park,60131,IF60131
Central,Illinois,Freeport,61032,IF61032
Central,Illinois,Galesburg,61401,IG61401
Central,Illinois,Glen Ellyn,60137,IG60137
Central,Illinois,Glendale Heights,60139,IG60139
Central,Illinois,Glenview,60025,IG60025
Central,Illinois,Granite City,62040,IG62040
Central,Illinois,Gurnee,60031,IG60031
Central,Illinois,Hanover Park,60103,IH60103
Central,Illinois,Highland Park,60035,IH60035
Central,Illinois,Hoffman Estates,60194,IH60194
Central,Illinois,Joliet,60432,IJ60432
Central,Illinois,Kankakee,60901,IK60901
Central,Illinois,Lake In The Hills,60102,IL60102
Central,Illinois,Lansing,60438,IL60438
Central,Illinois,Lombard,60148,IL60148
Central,Illinois,Melrose Park,60160,IM60160
Central,Illinois,Moline,61265,IM61265
Central,Illinois,Mount Prospect,60056,IM60056
Central,Illinois,Mundelein,60060,IM60060
Central,Illinois,Naperville,60540,IN60540
Central,Illinois,Normal,61761,IN61761
Central,Illinois,Northbrook,60062,IN60062
Central,Illinois,Oak Forest,60452,IO60452
Central,Illinois,Oak Lawn,60453,IO60453
Central,Illinois,Oak Park,60302,IO60302
Central,Illinois,Orland Park,60462,IO60462
Central,Illinois,Oswego,60543,IO60543
Central,Illinois,Palatine,60067,IP60067
Central,Illinois,Park Ridge,60068,IP60068
Central,Illinois,Pekin,61554,IP61554
Central,Illinois,Peoria,61604,IP61604
Central,Illinois,Plainfield,60544,IP60544
Central,Illinois,Quincy,62301,IQ62301
Central,Illinois,Rock Island,61201,IR61201
Central,Illinois,Rockford,61107,IR61107
Central,Illinois,Romeoville,60441,IR60441
Central,Illinois,Saint Charles,60174,IS60174
Central,Illinois,Schaumburg,60193,IS60193
Central,Illinois,Skokie,60076,IS60076
Central,Illinois,Springfield,62701,IS62701
Central,Illinois,Streamwood,60107,IS60107
Central,Illinois,Tinley Park,60477,IT60477
Central,Illinois,Urbana,61801,IU61801
Central,Illinois,Vernon Hills,60061,IV60061
Central,Illinois,Waukegan,60087,IW60087
Central,Illinois,West Chicago,60185,IW60185
Central,Illinois,Wheaton,60187,IW60187
Central,Illinois,Wheeling,60090,IW60090
Central,Illinois,Wilmette,60091,IW60091
Central,Illinois,Woodridge,60517,IW60517
Central,Illinois,Woodstock,60098,IW60098
Central,Indiana,Anderson,46016,IA46016
Central,Indiana,Bloomington,47401,IB47401
Central,Indiana,Carmel,46032,IC46032
Central,Indiana,Columbus,47201,IC47201
Central,Indiana,Crown Point,46307,IC46307
Central,Indiana,East Chicago,46312,IE46312
Central,Indiana,Elkhart,46514,IE46514
Central,Indiana,Fort Wayne,46806,IF46806
Central,Indiana,Frankfort,46041,IF46041
Central,Indiana,Gary,46404,IG46404
Central,Indiana,Granger,46530,IG46530
Central,Indiana,Greenwood,46142,IG46142
Central,Indiana,Hammond,46324,IH46324
Central,Indiana,Highland,46322,IH46322
Central,Indiana,Hobart,46342,IH46342
Central,Indiana,Indianapolis,46203,II46203
Central,Indiana,Jeffersonville,47130,IJ47130
Central,Indiana,Kokomo,46901,IK46901
Central,Indiana,La Porte,46350,IL46350
Central,Indiana,Lafayette,47905,IL47905
Central,Indiana,Lawrence,46226,IL46226
Central,Indiana,Marion,46952,IM46952
Central,Indiana,Merrillville,46410,IM46410
Central,Indiana,Michigan City,46360,IM46360
Central,Indiana,Mishawaka,46544,IM46544
Central,Indiana,Muncie,47302,IM47302
Central,Indiana,Munster,46321,IM46321
Central,Indiana,New Albany,47150,IN47150
Central,Indiana,New Castle,47362,IN47362
Central,Indiana,Noblesville,46060,IN46060
Central,Indiana,Portage,46368,IP46368
Central,Indiana,Richmond,47374,IR47374
Central,Indiana,Schererville,46375,IS46375
Central,Indiana,Seymour,47274,IS47274
Central,Indiana,South Bend,46614,IS46614
Central,Indiana,Terre Haute,47802,IT47802
Central,Indiana,Valparaiso,46383,IV46383
Central,Indiana,Vincennes,47591,IV47591
Central,Indiana,West Lafayette,47906,IW47906
Central,Iowa,Ames,50010,IA50010
Central,Iowa,Ankeny,50021,IA50021
Central,Iowa,Bettendorf,52722,IB52722
Central,Iowa,Burlington,52601,IB52601
Central,Iowa,Cedar Falls,50613,IC50613
Central,Iowa,Cedar Rapids,52402,IC52402
Central,Iowa,Clinton,52732,IC52732
Central,Iowa,Coralville,52241,IC52241
Central,Iowa,Council Bluffs,51503,IC51503
Central,Iowa,Davenport,52803,ID52803
Central,Iowa,Des Moines,50315,ID50315
Central,Iowa,Dubuque,52001,ID52001
Central,Iowa,Fort Dodge,50501,IF50501
Central,Iowa,Iowa City,52240,II52240
Central,Iowa,Marion,52302,IM52302
Central,Iowa,Marshalltown,50158,IM50158
Central,Iowa,Mason City,50401,IM50401
Central,Iowa,Muscatine,52761,IM52761
Central,Iowa,Newton,50208,IN50208
Central,Iowa,Ottumwa,52501,IO52501
Central,Iowa,Sioux City,51106,IS51106
Central,Iowa,Urbandale,50322,IU50322
Central,Iowa,Waterloo,50701,IW50701
Central,Iowa,West Des Moines,50265,IW50265
Central,Kansas,Derby,67037,KD67037
Central,Kansas,Dodge City,67801,KD67801
Central,Kansas,Emporia,66801,KE66801
Central,Kansas,Garden City,67846,KG67846
Central,Kansas,Hays,67601,KH67601
Central,Kansas,Hutchinson,67501,KH67501
Central,Kansas,Kansas City,66104,KK66104
Central,Kansas,Lawrence,66044,KL66044
Central,Kansas,Leavenworth,66048,KL66048
Central,Kansas,Leawood,66209,KL66209
Central,Kansas,Lenexa,66215,KL66215
Central,Kansas,Liberal,67901,KL67901
Central,Kansas,Manhattan,66502,KM66502
Central,Kansas,Newton,67114,KN67114
Central,Kansas,Olathe,66062,KO66062
Central,Kansas,Overland Park,66212,KO66212
Central,Kansas,Pittsburg,66762,KP66762
Central,Kansas,Prairie Village,66202,KP66202
Central,Kansas,Shawnee,66203,KS66203
Central,Kansas,Topeka,66614,KT66614
Central,Kansas,Wichita,67212,KW67212
Central,Michigan,Adrian,49221,MA49221
Central,Michigan,Allen Park,48101,MA48101
Central,Michigan,Ann Arbor,48104,MA48104
Central,Michigan,Battle Creek,49017,MB49017
Central,Michigan,Bay City,48708,MB48708
Central,Michigan,Burton,48509,MB48509
Central,Michigan,Canton,48187,MC48187
Central,Michigan,Clinton,49236,MC49236
Central,Michigan,Dearborn,48126,MD48126
Central,Michigan,Dearborn Heights,48127,MD48127
Central,Michigan,Detroit,48138,MD48138
Central,Michigan,Detroit,48205,MD48205
Central,Michigan,Detroit,48227,MD48227
Central,Michigan,Detroit,48234,MD48234
Central,Michigan,East Lansing,48823,ME48823
Central,Michigan,Eastpointe,48021,ME48021
Central,Michigan,Farmington Hills,48336,MF48336
Central,Michigan,Flint,48505,MF48505
Central,Michigan,Garden City,48135,MG48135
Central,Michigan,Grand Rapids,49505,MG49505
Central,Michigan,Holland,49423,MH49423
Central,Michigan,Inkster,48141,MI48141
Central,Michigan,Jackson,49201,MJ49201
Central,Michigan,Kalamazoo,49001,MK49001
Central,Michigan,Kentwood,49508,MK49508
Central,Michigan,Lansing,48911,ML48911
Central,Michigan,Lincoln Park,48146,ML48146
Central,Michigan,Livonia,48154,ML48154
Central,Michigan,Madison Heights,48071,MM48071
Central,Michigan,Midland,48640,MM48640
Central,Michigan,Mount Pleasant,48858,MM48858
Central,Michigan,Muskegon,49442,MM49442
Central,Michigan,Novi,48375,MN48375
Central,Michigan,Oak Park,48237,MO48237
Central,Michigan,Owosso,48841,MO48841
Central,Michigan,Pontiac,48342,MP48342
Central,Michigan,Port Huron,48060,MP48060
Central,Michigan,Portage,49002,MP49002
Central,Michigan,Redford,48239,MR48239
Central,Michigan,Rochester Hills,48307,MR48307
Central,Michigan,Roseville,48066,MR48066
Central,Michigan,Royal Oak,48073,MR48073
Central,Michigan,Saginaw,48601,MS48601
Central,Michigan,Saint Clair Shores,48080,MS48080
Central,Michigan,Sault Sainte Marie,49783,MS49783
Central,Michigan,Shelby,49455,MS49455
Central,Michigan,Southfield,48034,MS48034
Central,Michigan,Southgate,48195,MS48195
Central,Michigan,Sterling Heights,48310,MS48310
Central,Michigan,Taylor,48180,MT48180
Central,Michigan,Trenton,48183,MT48183
Central,Michigan,Troy,48098,MT48098
Central,Michigan,Walker,49534,MW49534
Central,Michigan,Warren,48093,MW48093
Central,Michigan,Waterford,48329,MW48329
Central,Michigan,Westland,48185,MW48185
Central,Michigan,Wyoming,49509,MW49509
Central,Minnesota,Apple Valley,55124,MA55124
Central,Minnesota,Blaine,55434,MB55434
Central,Minnesota,Bloomington,55420,MB55420
Central,Minnesota,Brooklyn Center,55429,MB55429
Central,Minnesota,Brooklyn Park,55445,MB55445
Central,Minnesota,Burnsville,55337,MB55337
Central,Minnesota,Coon Rapids,55433,MC55433
Central,Minnesota,Cottage Grove,55016,MC55016
Central,Minnesota,Duluth,55803,MD55803
Central,Minnesota,Eagan,55122,ME55122
Central,Minnesota,Eden Prairie,55343,ME55343
Central,Minnesota,Edina,55410,ME55410
Central,Minnesota,Fridley,55432,MF55432
Central,Minnesota,Hopkins,55305,MH55305
Central,Minnesota,Inver Grove Heights,55076,MI55076
Central,Minnesota,Lakeville,55044,ML55044
Central,Minnesota,Lino Lakes,55014,ML55014
Central,Minnesota,Mankato,56001,MM56001
Central,Minnesota,Maple Grove,55369,MM55369
Central,Minnesota,Maplewood,55119,MM55119
Central,Minnesota,Minneapolis,55407,MM55407
Central,Minnesota,Minnetonka,55345,MM55345
Central,Minnesota,Minnetonka Mills,55343,MM55343
Central,Minnesota,Moorhead,56560,MM56560
Central,Minnesota,Oakdale,55128,MO55128
Central,Minnesota,Owatonna,55060,MO55060
Central,Minnesota,Plymouth,55441,MP55441
Central,Minnesota,Prior Lake,55372,MP55372
Central,Minnesota,Red Wing,55066,MR55066
Central,Minnesota,Richfield,55423,MR55423
Central,Minnesota,Rochester,55901,MR55901
Central,Minnesota,Roseville,55113,MR55113
Central,Minnesota,Saint Cloud,56301,MS56301
Central,Minnesota,Saint Louis Park,55416,MS55416
Central,Minnesota,Saint Paul,55106,MS55106
Central,Minnesota,Savage,55378,MS55378
Central,Minnesota,Shakopee,55379,MS55379
Central,Minnesota,Shoreview,55126,MS55126
Central,Minnesota,Woodbury,55125,MW55125
Central,Missouri,Bridgeton,63044,MB63044
Central,Missouri,Clayton,63105,MC63105
Central,Missouri,Columbia,65203,MC65203
Central,Missouri,Creve Coeur,63141,MC63141
Central,Missouri,Ferguson,63135,MF63135
Central,Missouri,Florissant,63031,MF63031
Central,Missouri,Gladstone,64118,MG64118
Central,Missouri,Hazelwood,63042,MH63042
Central,Missouri,Independence,64055,MI64055
Central,Missouri,Jefferson City,65109,MJ65109
Central,Missouri,Joplin,64804,MJ64804
Central,Missouri,Kansas City,64130,MK64130
Central,Missouri,Kirkwood,63122,MK63122
Central,Missouri,Lees Summit,64064,ML64064
Central,Missouri,Maryland Heights,63043,MM63043
Central,Missouri,Mehlville,63129,MM63129
Central,Missouri,Oakville,63129,MO63129
Central,Missouri,Overland,63114,MO63114
Central,Missouri,Ozark,65721,MO65721
Central,Missouri,Raytown,64133,MR64133
Central,Missouri,Saint Charles,63301,MS63301
Central,Missouri,Saint Joseph,64506,MS64506
Central,Missouri,Saint Louis,63116,MS63116
Central,Missouri,Saint Peters,63376,MS63376
Central,Missouri,Springfield,65807,MS65807
Central,Missouri,University City,63130,MU63130
Central,Missouri,Webster Groves,63119,MW63119
Central,Missouri,Wentzville,63385,MW63385
Central,Nebraska,Bellevue,68005,NB68005
Central,Nebraska,Columbus,68601,NC68601
Central,Nebraska,Fremont,68025,NF68025
Central,Nebraska,Grand Island,68801,NG68801
Central,Nebraska,Hastings,68901,NH68901
Central,Nebraska,Kearney,68847,NK68847
Central,Nebraska,La Vista,68128,NL68128
Central,Nebraska,Lincoln,68502,NL68502
Central,Nebraska,Norfolk,68701,NN68701
Central,Nebraska,North Platte,69101,NN69101
Central,Nebraska,Omaha,68046,NO68046
Central,Nebraska,Omaha,68104,NO68104
Central,Nebraska,Papillion,68046,NP68046
Central,North Dakota,Bismarck,58501,NB58501
Central,North Dakota,Dickinson,58601,ND58601
Central,North Dakota,Fargo,58103,NF58103
Central,North Dakota,Grand Forks,58201,NG58201
Central,North Dakota,Mandan,58554,NM58554
Central,North Dakota,Minot,58701,NM58701
Central,Oklahoma,Altus,73521,OA73521
Central,Oklahoma,Bartlesville,74006,OB74006
Central,Oklahoma,Broken Arrow,74012,OB74012
Central,Oklahoma,Edmond,73034,OE73034
Central,Oklahoma,Enid,73703,OE73703
Central,Oklahoma,Lawton,73505,OL73505
Central,Oklahoma,Midwest City,73110,OM73110
Central,Oklahoma,Moore,73160,OM73160
Central,Oklahoma,Muskogee,74403,OM74403
Central,Oklahoma,Mustang,73064,OM73064
Central,Oklahoma,Norman,73071,ON73071
Central,Oklahoma,Oklahoma City,73120,OO73120
Central,Oklahoma,Owasso,74055,OO74055
Central,Oklahoma,Ponca City,74601,OP74601
Central,Oklahoma,Shawnee,74801,OS74801
Central,Oklahoma,Stillwater,74074,OS74074
Central,Oklahoma,Tulsa,74133,OT74133
Central,South Dakota,Aberdeen,57401,SA57401
Central,South Dakota,Brookings,57006,SB57006
Central,South Dakota,Rapid City,57701,SR57701
Central,South Dakota,Sioux Falls,57103,SS57103
Central,South Dakota,Watertown,57201,SW57201
Central,Texas,Abilene,79605,TA79605
Central,Texas,Allen,75002,TA75002
Central,Texas,Amarillo,79109,TA79109
Central,Texas,Arlington,76017,TA76017
Central,Texas,Austin,78745,TA78745
Central,Texas,Baytown,77520,TB77520
Central,Texas,Beaumont,77705,TB77705
Central,Texas,Bedford,76021,TB76021
Central,Texas,Brownsville,78521,TB78521
Central,Texas,Bryan,77803,TB77803
Central,Texas,Burleson,76028,TB76028
Central,Texas,Carrollton,75007,TC75007
Central,Texas,Cedar Hill,75104,TC75104
Central,Texas,Cedar Park,78613,TC78613
Central,Texas,Channelview,77530,TC77530
Central,Texas,Cleburne,76031,TC76031
Central,Texas,Cloverleaf,77015,TC77015
Central,Texas,College Station,77840,TC77840
Central,Texas,Conroe,77301,TC77301
Central,Texas,Coppell,75019,TC75019
Central,Texas,Corpus Christi,78415,TC78415
Central,Texas,Corsicana,75109,TC75109
Central,Texas,Dallas,75081,TD75081
Central,Texas,Dallas,75203,TD75203
Central,Texas,Dallas,75217,TD75217
Central,Texas,Dallas,75220,TD75220
Central,Texas,Deer Park,77536,TD77536
Central,Texas,Denton,76201,TD76201
Central,Texas,Duncanville,75116,TD75116
Central,Texas,Eagle Pass,78852,TE78852
Central,Texas,Edinburg,78539,TE78539
Central,Texas,El Paso,79907,TE79907
Central,Texas,Euless,76039,TE76039
Central,Texas,Farmers Branch,75234,TF75234
Central,Texas,Flower Mound,75028,TF75028
Central,Texas,Fort Worth,76106,TF76106
Central,Texas,Friendswood,77546,TF77546
Central,Texas,Frisco,75034,TF75034
Central,Texas,Gainesville,76240,TG76240
Central,Texas,Garland,75043,TG75043
Central,Texas,Georgetown,78626,TG78626
Central,Texas,Grand Prairie,75051,TG75051
Central,Texas,Grapevine,76051,TG76051
Central,Texas,Greenville,75401,TG75401
Central,Texas,Haltom City,76117,TH76117
Central,Texas,Harker Heights,76543,TH76543
Central,Texas,Harlingen,78550,TH78550
Central,Texas,Highland Village,75067,TH75067
Central,Texas,Houston,77036,TH77036
Central,Texas,Houston,77041,TH77041
Central,Texas,Houston,77070,TH77070
Central,Texas,Houston,77095,TH77095
Central,Texas,Huntsville,77340,TH77340
Central,Texas,Hurst,76053,TH76053
Central,Texas,Irving,75061,TI75061
Central,Texas,Keller,76248,TK76248
Central,Texas,Killeen,76541,TK76541
Central,Texas,Kingsville,78363,TK78363
Central,Texas,La Porte,77571,TL77571
Central,Texas,Lake Jackson,77566,TL77566
Central,Texas,Lancaster,75146,TL75146
Central,Texas,Laredo,78041,TL78041
Central,Texas,League City,77573,TL77573
Central,Texas,Leander,78641,TL78641
Central,Texas,Lewisville,75057,TL75057
Central,Texas,Longview,75601,TL75601
Central,Texas,Lubbock,79424,TL79424
Central,Texas,Lufkin,75901,TL75901
Central,Texas,Mansfield,76063,TM76063
Central,Texas,Mcallen,78501,TM78501
Central,Texas,Mesquite,75150,TM75150
Central,Texas,Midland,79701,TM79701
Central,Texas,Mineral Wells,76067,TM76067
Central,Texas,Missouri City,77489,TM77489
Central,Texas,Odessa,79762,TO79762
Central,Texas,Paris,75460,TP75460
Central,Texas,Pasadena,77506,TP77506
Central,Texas,Pearland,77581,TP77581
Central,Texas,Pflugerville,78660,TP78660
Central,Texas,Pharr,78577,TP78577
Central,Texas,Plainview,79072,TP79072
Central,Texas,Plano,75023,TP75023
Central,Texas,Port Arthur,77642,TP77642
Central,Texas,Richardson,75080,TR75080
Central,Texas,Rosenberg,77471,TR77471
Central,Texas,Round Rock,78664,TR78664
Central,Texas,Rowlett,75088,TR75088
Central,Texas,Saginaw,76131,TS76131
Central,Texas,San Angelo,76903,TS76903
Central,Texas,San Antonio,78207,TS78207
Central,Texas,San Juan,78589,TS78589
Central,Texas,San Marcos,78666,TS78666
Central,Texas,Seguin,78155,TS78155
Central,Texas,Sherman,75090,TS75090
Central,Texas,Spring,77373,TS77373
Central,Texas,Sugar Land,77478,TS77478
Central,Texas,Sulphur Springs,75482,TS75482
Central,Texas,Texarkana,75503,TT75503
Central,Texas,Texas City,77590,TT77590
Central,Texas,The Colony,75056,TT75056
Central,Texas,The Woodlands,77381,TT77381
Central,Texas,Tyler,75701,TT75701
Central,Texas,Victoria,77901,TV77901
Central,Texas,Waco,76706,TW76706
Central,Texas,Watauga,76148,TW76148
Central,Texas,Waxahachie,75165,TW75165
Central,Texas,Weatherford,76086,TW76086
Central,Texas,Weslaco,78596,TW78596
Central,Texas,Wichita Falls,76308,TW76308
Central,Texas,Wylie,75098,TW75098
Central,Wisconsin,Appleton,54915,WA54915
Central,Wisconsin,Brookfield,53005,WB53005
Central,Wisconsin,Cudahy,53110,WC53110
Central,Wisconsin,Eau Claire,54703,WE54703
Central,Wisconsin,Fitchburg,53713,WF53713
Central,Wisconsin,Franklin,53132,WF53132
Central,Wisconsin,Green Bay,54302,WG54302
Central,Wisconsin,Greenfield,53220,WG53220
Central,Wisconsin,Janesville,53545,WJ53545
Central,Wisconsin,Kenosha,53142,WK53142
Central,Wisconsin,La Crosse,54601,WL54601
Central,Wisconsin,Madison,53711,WM53711
Central,Wisconsin,Manitowoc,54220,WM54220
Central,Wisconsin,Menomonee Falls,53051,WM53051
Central,Wisconsin,Milwaukee,53209,WM53209
Central,Wisconsin,Muskego,53150,WM53150
Central,Wisconsin,Neenah,54956,WN54956
Central,Wisconsin,New Berlin,53151,WN53151
Central,Wisconsin,Oak Creek,53154,WO53154
Central,Wisconsin,Oshkosh,54901,WO54901
Central,Wisconsin,Racine,53402,WR53402
Central,Wisconsin,Sheboygan,53081,WS53081
Central,Wisconsin,Stevens Point,54481,WS54481
Central,Wisconsin,Sun Prairie,53590,WS53590
Central,Wisconsin,Superior,54880,WS54880
Central,Wisconsin,Watertown,53094,WW53094
Central,Wisconsin,Waukesha,53186,WW53186
Central,Wisconsin,Wausau,54401,WW54401
Central,Wisconsin,Wauwatosa,53213,WW53213
Central,Wisconsin,West Allis,53214,WW53214
Central,Wisconsin,West Bend,53095,WW53095
East,Connecticut,Ansonia,6401,CA6401
East,Connecticut,Branford,6405,CB6405
East,Connecticut,Bridgeport,6607,CB6607
East,Connecticut,Bristol,6010,CB6010
East,Connecticut,Cheshire,6408,CC6408
East,Connecticut,Colchester,6415,CC6415
East,Connecticut,Danbury,6810,CD6810
East,Connecticut,Darien,6820,CD6820
East,Connecticut,East Hartford,6108,CE6108
East,Connecticut,East Haven,6512,CE6512
East,Connecticut,Fairfield,6824,CF6824
East,Connecticut,Farmington,6030,CF6030
East,Connecticut,Glastonbury,6033,CG6033
East,Connecticut,Greenwich,6830,CG6830
East,Connecticut,Guilford,6437,CG6437
East,Connecticut,Hamden,6511,CH6511
East,Connecticut,Hartford,6105,CH6105
East,Connecticut,Hartford,6114,CH6114
East,Connecticut,Killingly Center,6241,CK6241
East,Connecticut,Madison,6443,CM6443
East,Connecticut,Manchester,6040,CM6040
East,Connecticut,Meriden,6450,CM6450
East,Connecticut,Middletown,6457,CM6457
East,Connecticut,Milford,6460,CM6460
East,Connecticut,Naugatuck,6770,CN6770
East,Connecticut,New Britain,6050,CN6050
East,Connecticut,New Haven,6510,CN6510
East,Connecticut,New London,6320,CN6320
East,Connecticut,New Milford,6776,CN6776
East,Connecticut,Newington,6111,CN6111
East,Connecticut,North Haven,6473,CN6473
East,Connecticut,Norwalk,6850,CN6850
East,Connecticut,Norwalk,6855,CN6855
East,Connecticut,Norwich,6360,CN6360
East,Connecticut,Plainfield,6374,CP6374
East,Connecticut,Seymour,6478,CS6478
East,Connecticut,Shelton,6484,CS6484
East,Connecticut,South Windsor,6074,CS6074
East,Connecticut,Southbury,6488,CS6488
East,Connecticut,Stamford,6901,CS6901
East,Connecticut,Stamford,6903,CS6903
East,Connecticut,Stratford,6614,CS6614
East,Connecticut,Torrington,6790,CT6790
East,Connecticut,Trumbull,6611,CT6611
East,Connecticut,Wallingford,6492,CW6492
East,Connecticut,Waterbury,6702,CW6702
East,Connecticut,Waterbury,6708,CW6708
East,Connecticut,Waterbury,6710,CW6710
East,Connecticut,Watertown,6795,CW6795
East,Connecticut,Willimantic,6226,CW6226
East,Delaware,Dover,19901,DD19901
East,Delaware,Newark,19711,DN19711
East,Delaware,Wilmington,19805,DW19805
East,District of Columbia,Washington,20004,DW20004
East,District of Columbia,Washington,20006,DW20006
East,District of Columbia,Washington,20012,DW20012
East,District of Columbia,Washington,20016,DW20016
East,District of Columbia,Washington,20024,DW20024
East,Maine,Auburn,4210,MA4210
East,Maine,Augusta,4330,MA4330
East,Maine,Bangor,4401,MB4401
East,Maine,Biddeford,4005,MB4005
East,Maine,Brunswick,4011,MB4011
East,Maine,Gorham,4038,MG4038
East,Maine,Lewiston,4240,ML4240
East,Maine,Portland,4101,MP4101
East,Maine,Saco,4072,MS4072
East,Maine,Sanford,4073,MS4073
East,Maine,South Portland,4106,MS4106
East,Maine,Waterville,4901,MW4901
East,Maine,West Scarborough,4070,MW4070
East,Maine,Westbrook,4092,MW4092
East,Maryland,Annapolis,21403,MA21403
East,Maryland,Aspen Hill,20906,MA20906
East,Maryland,Baltimore,21215,MB21215
East,Maryland,Bethesda,20814,MB20814
East,Maryland,Bowie,20715,MB20715
East,Maryland,Camp Springs,20746,MC20746
East,Maryland,Catonsville,21228,MC21228
East,Maryland,Clinton,20735,MC20735
East,Maryland,College Park,20740,MC20740
